국문	영어
용도지역명1	prposArea1Nm
용도지역코드2	prposArea2
용도지역명2	prposArea2Nm
토지이용상황코드	ladUseSittn
토지이용상황명	ladUseSittnNm
지형높이코드	tpgrphHgCode
지형높이	tpgrphHgCodeNm
지형형상코드	tpgrphFrmCode
지형형상	tpgrphFrmCodeNm
도로접면코드	roadSideCode
도로접면	roadSideCodeNm
공시지가	pblntfPclnd
데이터기준일자	lastUpdtDt
데이터 설명	description
컬럼	columns
기준년월	stdrYm
결과코드	resultCode
결과메세지	resultMsg
상가업소번호	bizesId
상호명	bizesNm
지점명	brchNm
상권업종대분류코드	indsLclsCd
상권업종대분류명	indsLclsNm
상권업종중분류코드	indsMclsCd
상권업종중분류명	indsMclsNm
상권업종소분류코드	indsSclsCd
상권업종소분류명	indsSclsNm
표준산업분류코드	ksicCd
표준산업분류명	ksicNm
시도코드	ctprvnCd
시도명	ctprvnNm
시군구코드	signguCd
시군구명	signguNm
행정동코드	adongCd
행정동명	adongNm
법정동코드	ldongCd
법정동명	ldongNm
PNU코드(지번코드)	lnoCd
대지구분코드	plotSctCd
대지구분명	plotSctNm
지번본번지	lnoMnno
지번부번지	lnoSlno
지번주소	lnoAdr
도로명코드	rdnmCd
도로명	rdnm
건물본번지	bldMnno
건물부번지	bldSlno
건물관리번호	bldMngNo
건물명	bldNm
도로명주소	rdnmAdr
구우편번호	oldZipcd
신우편번호	newZipcd
동정보	dongNo
층정보	flrNo
호정보	hoNo
경도	lon
위도	lat
페이지당 건수	numOfRows
페이지 번호	pageNo
데이터 총 개수	totalCount
주용도코드명	mainPurpsCdNm
기타용도	etcPurps
지붕코드	roofCd
지붕코드명	roofCdNm
기타지붕	etcRoof
세대수(세대)	hhldCnt
가구수(가구)	fmlyCnt
높이(m)	heit
지상층수	grndFlrCnt
지하층수	ugrndFlrCnt
승용승강기수	rideUseElvtCnt
비상용승강기수	emgenUseElvtCnt
부속건축물수	atchBldCnt
부속건축물면적(㎡)	atchBldArea
총동연면적(㎡)	totDongTotArea
옥내기계식대수(대)	indrMechUtcnt
옥내기계식면적(㎡)	indrMechArea
옥외기계식대수(대)	oudrMechUtcnt
옥외기계식면적(㎡)	oudrMechArea
옥내자주식대수(대)	indrAutoUtcnt
옥내자주식면적(㎡)	indrAutoArea
옥외자주식대수(대)	oudrAutoUtcnt
옥외자주식면적(㎡)	oudrAutoArea
허가일	pmsDay
착공일	stcnsDay
사용승인일	useAprDay
허가번호년	pmsnoYear
허가번호기관코드	pmsnoKikCd
허가번호기관코드명	pmsnoKikCdNm
허가번호구분코드	pmsnoGbCd
허가번호구분코드명	pmsnoGbCdNm
호수(호)	hoCnt
에너지효율등급	engrGrade
에너지절감율	engrRat
EPI점수	engrEpi
친환경건축물등급	gnBldGrade
친환경건축물인증점수	gnBldCert
지능형건축물등급	itgBldGrade
지능형건축물인증점수	itgBldCert
생성일자	crtnDay
null	Items
순번	rnum
대지위치	platPlc
시군구코드	sigunguCd
법정동코드	bjdongCd
대지구분코드	platGbCd
번	bun
지	ji
관리건축물대장PK	mgmBldrgstPk
대장구분코드	regstrGbCd
대장구분코드명	regstrGbCdNm
대장종류코드	regstrKindCd
